adj-eng,adj-fre,adj-ger,adj-ita,adj-ned,adj-rus,adj-vie,adj-zho,noun-eng,noun-fre,noun-ger,noun-ita,noun-ned,noun-rus,noun-vie,noun-zho,phrase-eng,phrase-fre,phrase-ger,phrase-ita,phrase-ned,phrase-rus,phrase-vie,phrase-zho,phrase_complete-eng,phrase_complete-fre,phrase_complete-ger,phrase_complete-ita,phrase_complete-ned,phrase_complete-rus,phrase_complete-vie,phrase_complete-zho,phrase_prefix-eng,phrase_prefix-fre,phrase_prefix-ger,phrase_prefix-ita,phrase_prefix-ned,phrase_prefix-rus,phrase_prefix-vie,phrase_prefix-zho
precious,précieux,kostbare,prezioso,kostbare,драгоценный,quý,珍貴的,jewel,bijou,Juwel,gioiello,juweel,камень,ngọc,寶石,precious jewel,bijou précieux,kostbare Juwel,gioiello prezioso,kostbare juweel,драгоценный камень,ngọc quý,珍貴的寶石,I saw the precious jewel,J'ai vu le bijou précieux,Ich sah das kostbare Juwel,Ho visto il gioiello prezioso,Ik zag het kostbare juweel,Я увидел драгоценный камень,Tôi đã thấy viên ngọc quý,我看見了珍貴的寶石,I saw the,J'ai vu le,Ich sah das,Ho visto il,Ik zag het,Я увидел,Tôi đã thấy viên,我看見了
boiling,bouillante,kochenden,bollente,kokende,кипящий,sôi,沸腾的,kettle,bouilloire,Kessel,bollitore,ketel,чайник,ấm,茶壶,boiling kettle,bouilloire bouillante,kochenden Kessel,bollitore bollente,kokende ketel,кипящий чайник,ấm sôi,沸腾的茶壶,I saw the boiling kettle,J'ai vu la bouilloire bouillante,Ich sah den kochenden Kessel,Ho visto il bollitore bollente,Ik zag de kokende ketel,Я увидел кипящий чайник,Tôi đã thấy cái ấm sôi,我看見了沸腾的茶壶,I saw the,J'ai vu la,Ich sah den,Ho visto il,Ik zag de,Я увидел,Tôi đã thấy cái,我看見了
golden,d'or,goldenen,d,gouden,золотую,vàng,金色的,key,clé,Schlüssel,chiave,sleutel,ключ,chìa khóa,钥匙,golden key,clé d'or,goldenen Schlüssel,chiave d'oro,gouden sleutel,золотой ключ,chìa khóa vàng,金色的钥匙,I saw the golden key,J'ai vu la clé d'or,Ich sah den goldenen Schlüssel,Ho visto la chiave d'oro,Ik zag de gouden sleutel,Я увидел золотую ключ,Tôi đã thấy chìa khóa vàng,我看見了金色的钥匙,I saw the,J'ai vu la,Ich sah den,Ho visto la,Ik zag de,Я увидел,Tôi đã thấy,我看見了
bent,plié,gekrümmte,piegato,gebogen,согнутое,cong,弯曲的,knee,genou,Knie,ginocchio,knie,колено,đầu gối,膝盖,bent knee,genou plié,gekrümmte Knie,ginocchio piegato,gebogen knie,согнутое колено,đầu gối cong,弯曲的膝盖,I saw the bent knee,J'ai vu le genou plié,Ich sah das gekrümmte Knie,Ho visto il ginocchio piegato,Ik zag de gebogen knie,Я увидел согнутое колено,Tôi đã thấy cái đầu gối cong,我看見了弯曲的膝盖,I saw the,J'ai vu le,Ich sah das,Ho visto il,Ik zag de,Я увидел,Tôi đã thấy cái,我看見了
sharp,acéré,scharfe,affilato,scherpe,острый,sắc,锋利的,knife,couteau,Messer,coltello,mes,нож,dao,刀刃,sharp knife,couteau acéré,scharfe Messer,coltello affilato,scherpe mes,острый нож,dao sắc,锋利的刀刃,I saw the sharp knife,J'ai vu le couteau acéré,Ich sah das scharfe Messer,Ho visto il coltello affilato,Ik zag het scherpe mes,Я увидел острый нож,Tôi đã thấy con dao sắc,我看見了锋利的刀刃,I saw the,J'ai vu le,Ich sah das,Ho visto il,Ik zag het,Я увидел,Tôi đã thấy con,我看見了
tight,serré,festen,stretto,strakke,крепкий,chặt,緊,knot,nœud,Knoten,nodo,knoop,узел,nút thắt,結,tight knot,nœud serré,festen Knoten,nodo stretto,strakke knoop,крепкий узел,nút thắt chặt,緊結,I saw the tight knot,J'ai vu le nœud serré,Ich sah den festen Knoten,Ho visto il nodo stretto,Ik zag de strakke knoop,Я увидел крепкий узел,Tôi đã thấy nút thắt chặt,我看見了緊結,I saw the,J'ai vu le,Ich sah den,Ho visto il,Ik zag de,Я увидел,Tôi đã thấy,我看見了
green,verte,grüne,verde,groene,зелёный,xanh,绿,leaf,feuille,Blatt,foglia,blad,лист,lá,叶,green leaf,feuille verte,grüne Blatt,foglia verde,groene blad,зеленый лист,lá xanh,绿叶,I saw the green leaf,J'ai vu la feuille verte,Ich sah das grüne Blatt,Ho visto la foglia verde,Ik zag het groene blad,Я увидел зелёный лист,Tôi đã thấy chiếc lá xanh,我看見了绿叶,I saw the,J'ai vu la,Ich sah das,Ho visto la,Ik zag het,Я увидел,Tôi đã thấy chiếc,我看見了
strong,forte,starke,forte,sterke,сильную,chắc,强健的,leg,jambe,Bein,gamba,been,ногу,chân,腿,strong leg,jambe forte,starke Bein,gamba forte,sterke been,сильная нога,chân chắc,强健的腿,I saw the strong leg,J'ai vu la jambe forte,Ich sah das starke Bein,Ho visto la gamba forte,Ik zag het sterke been,Я увидел сильную ногу,Tôi đã thấy đôi chân chắc,我看見了强健的腿,I saw the,J'ai vu la,Ich sah das,Ho visto la,Ik zag het,Я увидел,Tôi đã thấy đôi,我看見了
quiet,silencieuse,ruhige,silenziosa,stille,тихую,yên tĩnh,安静的,library,bibliothèque,Bibliothek,biblioteca,bibliotheek,библиотеку,thư viện,图书馆,quiet library,bibliothèque silencieuse,ruhige Bibliothek,biblioteca silenziosa,stille bibliotheek,тихая библиотека,thư viện yên tĩnh,安静的图书馆,I saw the quiet library,J'ai vu la bibliothèque silencieuse,Ich sah die ruhige Bibliothek,Ho visto la biblioteca silenziosa,Ik zag de stille bibliotheek,Я увидел тихую библиотеку,Tôi đã thấy thư viện yên tĩnh,我看見了安静的图书馆,I saw the,J'ai vu la,Ich sah die,Ho visto la,Ik zag de,Я увидел,Tôi đã thấy,我看見了
straight,droite,gerade,retta,rechte,прямую,thẳng,笔直的,line,ligne,Linie,linea,lijn,линию,đường,线条,straight line,ligne droite,gerade Linie,linea retta,rechte lijn,прямая линия,đường thẳng,笔直的线条,I saw the straight line,J'ai vu la ligne droite,Ich sah die gerade Linie,Ho visto la linea retta,Ik zag de rechte lijn,Я увидел прямую линию,Tôi đã thấy đường thẳng,我看見了笔直的线条,I saw the,J'ai vu la,Ich sah die,Ho visto la,Ik zag de,Я увидел,Tôi đã thấy,我看見了
red,rouge,rote,rosse,rode,красную,đỏ,红,lip,lèvre,Lippe,labbra,lip,губу,môi,唇,red lip,lèvre rouge,rote Lippe,labbra rosse,rode lip,красные губы,môi đỏ,红唇,I saw the red lip,J'ai vu la lèvre rouge,Ich sah die rote Lippe,Ho visto la labbra rosse,Ik zag de rode lip,Я увидел красную губу,Tôi đã thấy đôi môi đỏ,我看見了红唇,I saw the,J'ai vu la,Ich sah die,Ho visto la,Ik zag de,Я увидел,Tôi đã thấy đôi,我看見了
secure,sécurisée,sichere,sicura,veilige,надёжный,an toàn,安全的,lock,serrure,Schloss,serratura,slot,замок,khóa,锁,secure lock,serrure sécurisée,sichere Schloss,serratura sicura,veilige slot,надежный замок,khóa an toàn,安全的锁,I saw the secure lock,J'ai vu la serrure sécurisée,Ich sah das sichere Schloss,Ho visto la serratura sicura,Ik zag het veilige slot,Я увидел надёжный замок,Tôi đã thấy cái khóa an toàn,我看見了安全的锁,I saw the,J'ai vu la,Ich sah das,Ho visto la,Ik zag het,Я увидел,Tôi đã thấy cái,我看見了
detailed,détaillée,detaillierte,dettagliata,gedetailleerde,подробную,chi tiết,详细的,map,carte,Karte,mappa,kaart,карту,bản đồ,地图,detailed map,carte détaillée,detaillierte Karte,mappa dettagliata,gedetailleerde kaart,подробная карта,bản đồ chi tiết,详细的地图,I saw the detailed map,J'ai vu la carte détaillée,Ich sah die detaillierte Karte,Ho visto la mappa dettagliata,Ik zag de gedetailleerde kaart,Я увидел подробную карту,Tôi đã thấy bản đồ chi tiết,我看見了详细的地图,I saw the,J'ai vu la,Ich sah die,Ho visto la,Ik zag de,Я увидел,Tôi đã thấy,我看見了
lit,allumée,angezündete,acceso,aangestoken,зажжённую,cháy,点燃的,match,allumette,Streichholz,fiammifero,lucifer,спичку,que diêm,火柴,lit match,allumette allumée,angezündete Streichholz,fiammifero acceso,aangestoken lucifer,зажженная спичка,que diêm cháy,点燃的火柴,I saw the lit match,J'ai vu l'allumette allumée,Ich sah das angezündete Streichholz,Ho visto il fiammifero acceso,Ik zag de aangestoken lucifer,Я увидел зажжённую спичку,Tôi đã thấy que diêm cháy,我看見了点燃的火柴,I saw the,J'ai vu l',Ich sah das,Ho visto il,Ik zag de,Я увидел,Tôi đã thấy,我看見了
playful,joueur,verspielten,giocosa,speelse,игривую,nghịch ngợm,顽皮的,monkey,singe,Affe,scimmia,aap,обезьяну,khỉ,猴子,playful monkey,singe joueur,verspielten Affe,scimmia giocosa,speelse aap,игривая обезьяна,khỉ nghịch ngợm,顽皮的猴子,I saw the playful monkey,J'ai vu le singe joueur,Ich sah den verspielten Affe,Ho visto la scimmia giocosa,Ik zag de speelse aap,Я увидел игривую обезьяну,Tôi đã thấy con khỉ nghịch ngợm,我看見了顽皮的猴子,I saw the,J'ai vu le,Ich sah den,Ho visto la,Ik zag de,Я увидел,Tôi đã thấy con,我看見了
white,blanche,weißen,bianca,witte,белую,trắng,白,moon,lune,Mond,luna,maan,луну,trăng,月,white moon,lune blanche,weißen Mond,luna bianca,witte maan,белая луна,trăng trắng,白月,I saw the white moon,J'ai vu la lune blanche,Ich sah den weißen Mond,Ho visto la luna bianca,Ik zag de witte maan,Я увидел белую луну,Tôi đã thấy vầng trăng trắng,我看見了白月,I saw the,J'ai vu la,Ich sah den,Ho visto la,Ik zag de,Я увидел,Tôi đã thấy vầng,我看見了
cold,froide,kalten,fredda,koude,холодный,lạnh,冰冷的,mouth,bouche,Mund,bocca,mond,рот,miệng,嘴,cold mouth,bouche froide,kalten Mund,bocca fredda,koude mond,холодный рот,miệng lạnh,冰冷的嘴,I saw the cold mouth,J'ai vu la bouche froide,Ich sah den kalten Mund,Ho visto la bocca fredda,Ik zag de koude mond,Я увидел холодный рот,Tôi đã thấy cái miệng lạnh,我看見了冰冷的嘴,I saw the,J'ai vu la,Ich sah den,Ho visto la,Ik zag de,Я увидел,Tôi đã thấy cái,我看見了
strong,fort,starken,forte,sterke,сильную,mạnh mẽ,强健的,muscle,muscle,Muskel,muscolo,spier,мышцу,cơ bắp,肌肉,strong muscle,muscle fort,starken Muskel,muscolo forte,sterke spier,сильные мышцы,cơ bắp mạnh mẽ,强健的肌肉,I saw the strong muscle,J'ai vu le muscle fort,Ich sah den starken Muskel,Ho visto il muscolo forte,Ik zag de sterke spier,Я увидел сильную мышцу,Tôi đã thấy cơ bắp mạnh mẽ,我看見了强健的肌肉,I saw the,J'ai vu le,Ich sah den,Ho visto il,Ik zag de,Я увидел,Tôi đã thấy,我看見了
rusty,rouillé,rostigen,arrugginito,roestige,ржавый,gỉ,生锈的,nail,clou,Nagel,chiodo,spijker,гвоздь,đinh,钉子,rusty nail,clou rouillé,rostigen Nagel,chiodo arrugginito,roestige spijker,ржавый гвоздь,đinh gỉ,生锈的钉子,I saw the rusty nail,J'ai vu le clou rouillé,Ich sah den rostigen Nagel,Ho visto il chiodo arrugginito,Ik zag de roestige spijker,Я увидел ржавый гвоздь,Tôi đã thấy cái đinh gỉ,我看見了生锈的钉子,I saw the,J'ai vu le,Ich sah den,Ho visto il,Ik zag de,Я увидел,Tôi đã thấy cái,我看見了
red,rouge,roten,rosso,rode,красную,đỏ,红,neck,cou,Hals,collo,nek,шею,cổ,脖子,red neck,cou rouge,roten Hals,collo rosso,rode nek,красная шея,cổ đỏ,红脖子,I saw the red neck,J'ai vu le cou rouge,Ich sah den roten Hals,Ho visto il collo rosso,Ik zag de rode nek,Я увидел красную шею,Tôi đã thấy cái cổ đỏ,我看見了红脖子,I saw the,J'ai vu le,Ich sah den,Ho visto il,Ik zag de,Я увидел,Tôi đã thấy cái,我看見了
sharp,pointue,scharfe,affilato,scherpe,острую,nhọn,锋利的,needle,aiguille,Nadel,ago,naald,иглу,kim,针,sharp needle,aiguille pointue,scharfe Nadel,ago affilato,scherpe naald,острая игла,kim nhọn,锋利的针,I saw the sharp needle,J'ai vu l'aiguille pointue,Ich sah die scharfe Nadel,Ho visto l' ago affilato,Ik zag de scherpe naald,Я увидел острую иглу,Tôi đã thấy cái kim nhọn,我看見了锋利的针,I saw the,J'ai vu l',Ich sah die,Ho visto l',Ik zag de,Я увидел,Tôi đã thấy cái,我看見了
sensitive,sensible,empfindlichen,sensibile,gevoelige,чувствительный,nhạy cảm,敏感的,nerve,nerf,Nerv,nervo,zenuw,нерв,thần kinh,神经,sensitive nerve,nerf sensible,empfindlichen Nerv,nervo sensibile,gevoelige zenuw,чувствительный нерв,thần kinh nhạy cảm,敏感的神经,I saw the sensitive nerve,J'ai vu le nerf sensible,Ich sah den empfindlichen Nerv,Ho visto il nervo sensibile,Ik zag de gevoelige zenuw,Я увидел чувствительный нерв,Tôi đã thấy dây thần kinh nhạy cảm,我看見了敏感的神经,I saw the,J'ai vu le,Ich sah den,Ho visto il,Ik zag de,Я увидел,Tôi đã thấy dây,我看見了
sticky,collant,klebrige,adesiva,plakkerige,липкую,dính,黏性,net,filet,Netz,rete,net,сеть,lưới,網,sticky net,filet collant,klebrige Netz,rete adesiva,plakkerige net,липкая сеть,lưới dính,黏性網,I saw the sticky net,J'ai vu le filet collant,Ich sah das klebrige Netz,Ho visto la rete adesiva,Ik zag het plakkerige net,Я увидел липкую сеть,Tôi đã thấy tấm lưới dính,我看見了黏性網,I saw the,J'ai vu le,Ich sah das,Ho visto la,Ik zag het,Я увидел,Tôi đã thấy tấm,我看見了
round,rond,runde,tondo,ronde,круглый,tròn,圆,nose,nez,Nase,naso,neus,нос,mũi,鼻,round nose,nez rond,runde Nase,naso tondo,ronde neus,круглый нос,mũi tròn,圆鼻,I saw the round nose,J'ai vu le nez rond,Ich sah die runde Nase,Ho visto il naso tondo,Ik zag de ronde neus,Я увидел круглый нос,Tôi đã thấy cái mũi tròn,我看見了圆鼻,I saw the,J'ai vu le,Ich sah die,Ho visto il,Ik zag de,Я увидел,Tôi đã thấy cái,我看見了
hard,dure,harte,dura,harde,твёрдый,cứng,難纏的,nut,noix,Nuss,noce,noot,орех,hạt,傢伙,hard nut,noix dure,harte Nuss,noce dura,harde noot,твердый орех,hạt cứng,難纏的傢伙,I saw the hard nut,J'ai vu la noix dure,Ich sah die harte Nuss,Ho visto la noce dura,Ik zag de harde noot,Я увидел твёрдый орех,Tôi đã thấy hạt cứng,我看見了難纏的傢伙,I saw the,J'ai vu la,Ich sah die,Ho visto la,Ik zag de,Я увидел,Tôi đã thấy,我看見了
busy,occupé,geschäftige,affollato,drukke,оживлённый,bận rộn,繁忙的,office,bureau,Büro,ufficio,kantoor,офис,văn phòng,办公室,busy office,bureau occupé,geschäftige Büro,ufficio affollato,drukke kantoor,оживленный офис,văn phòng bận rộn,繁忙的办公室,I saw the busy office,J'ai vu le bureau occupé,Ich sah das geschäftige Büro,Ho visto l'ufficio affollato,Ik zag het drukke kantoor,Я увидел оживлённый офис,Tôi đã thấy văn phòng bận rộn,我看見了繁忙的办公室,I saw the,J'ai vu le,Ich sah das,Ho visto l',Ik zag het,Я увидел,Tôi đã thấy,我看見了
juicy,juteuse,saftige,succosa,sappige,сочный,ngọt ngào,多汁的,orange,orange,Orange,arancia,sinaasappel,апельсин,cam,橙子,juicy orange,orange juteuse,saftige Orange,arancia succosa,sappige sinaasappel,сочный апельсин,cam ngọt ngào,多汁的橙子,I saw the juicy orange,J'ai vu l'orange juteuse,Ich sah die saftige Orange,Ho visto l'arancia succosa,Ik zag de sappige sinaasappel,Я увидел сочный апельсин,Tôi đã thấy quả cam ngọt ngào,我看見了多汁的橙子,I saw the,J'ai vu l',Ich sah die,Ho visto l',Ik zag de,Я увидел,Tôi đã thấy quả,我看見了
hot,chaud,heißen,caldo,hete,горячую,nóng,熱,oven,four,Ofen,forno,oven,печь,lò nướng,烤箱,hot oven,four chaud,heißen Ofen,forno caldo,hete oven,горячая печь,lò nướng nóng,熱烤箱,I saw the hot oven,J'ai vu le four chaud,Ich sah den heißen Ofen,Ho visto il forno caldo,Ik zag de hete oven,Я увидел горячую печь,Tôi đã thấy cái lò nướng nóng,我看見了熱烤箱,I saw the,J'ai vu le,Ich sah den,Ho visto il,Ik zag de,Я увидел,Tôi đã thấy cái,我看見了
sealed,scellé,versiegelte,sigillato,verzegelde,запечатанную,niêm phong,密封,parcel,colis,Paket,pacco,pakket,посылку,gói hàng,包裹,sealed parcel,colis scellé,versiegelte Paket,pacco sigillato,verzegelde pakket,запечатанная посылка,gói hàng niêm phong,密封包裹,I saw the sealed parcel,J'ai vu le colis scellé,Ich sah das versiegelte Paket,Ho visto il pacco sigillato,Ik zag het verzegelde pakket,Я увидел запечатанную посылку,Tôi đã thấy gói hàng niêm phong,我看見了密封包裹,I saw the,J'ai vu le,Ich sah das,Ho visto il,Ik zag het,Я увидел,Tôi đã thấy,我看見了
blue,bleu,blauen,blu,blauwe,синюю,màu xanh,蓝色,pen,stylo,Stift,penna,pen,ручку,bút bi,钢笔,blue pen,stylo bleu,blauen Stift,penna blu,blauwe pen,синяя ручка,bút bi màu xanh,蓝色钢笔,I saw the blue pen,J'ai vu le stylo bleu,Ich sah den blauen Stift,Ho visto la penna blu,Ik zag de blauwe pen,Я увидел синюю ручку,Tôi đã thấy cái bút bi màu xanh,我看見了蓝色钢笔,I saw the,J'ai vu le,Ich sah den,Ho visto la,Ik zag de,Я увидел,Tôi đã thấy cái,我看見了
sharp,pointu,spitzen,appuntita,scherpe,острый,nhọn,尖銳的,pencil,crayon,Bleistift,matita,potlood,карандаш,bút chì,鉛筆,sharp pencil,crayon pointu,spitzen Bleistift,matita appuntita,scherpe potlood,острый карандаш,bút chì nhọn,尖銳的鉛筆,I saw the sharp pencil,J'ai vu le crayon pointu,Ich sah den spitzen Bleistift,Ho visto la matita appuntita,Ik zag het scherpe potlood,Я увидел острый карандаш,Tôi đã thấy cái bút chì nhọn,我看見了尖銳的鉛筆,I saw the,J'ai vu le,Ich sah den,Ho visto la,Ik zag het,Я увидел,Tôi đã thấy cái,我看見了
dark,sombre,dunkle,scura,donkere,мрачную,tối,黑暗,picture,image,Bild,immagine,foto,картину,hình ảnh,圖像,dark picture,image sombre,dunkle Bild,immagine scura,donkere foto,мрачная картина,hình ảnh tối,黑暗圖像,I saw the dark picture,J'ai vu l'image sombre,Ich sah das dunkle Bild,Ho visto l'immagine scura,Ik zag de donkere foto,Я увидел мрачную картину,Tôi đã thấy hình ảnh tối,我看見了黑暗圖像,I saw the,J'ai vu l',Ich sah das,Ho visto l',Ik zag de,Я увидел,Tôi đã thấy,我看見了
pink,rose,rosa,rosa,roze,розовую,hồng,粉紅,pig,cochon,Schwein,maiale,varken,свинью,lợn,豬,pink pig,cochon rose,rosa Schwein,maiale rosa,roze varken,розовая свинья,lợn hồng,粉紅豬,I saw the pink pig,J'ai vu le cochon rose,Ich sah das rosa Schwein,Ho visto la maiale rosa,Ik zag het roze varken,Я увидел розовую свинью,Tôi đã thấy con lợn hồng,我看見了粉紅豬,I saw the,J'ai vu le,Ich sah das,Ho visto la,Ik zag het,Я увидел,Tôi đã thấy con,我看見了
sharp,acérée,spitze,appuntito,scherpe,острую,nhọn,尖锐的,pin,épingle,Nadel,spillo,speld,булавку,kim,钉子,sharp pin,épingle acérée,spitze Nadel,spillo appuntito,scherpe speld,острая булавка,kim nhọn,尖锐的钉子,I saw the sharp pin,J'ai vu l'épingle acérée,Ich sah die spitze Nadel,Ho visto lo spillo appuntito,Ik zag de scherpe speld,Я увидел острую булавку,Tôi đã thấy cái kim nhọn,我看見了尖锐的钉子,I saw the,J'ai vu l',Ich sah die,Ho visto lo,Ik zag de,Я увидел,Tôi đã thấy cái,我看見了
broken,cassé,kaputte,rotto,gebroken,сломанную,bị vỡ,断裂的,pipe,tuyau,Rohr,tubo,pijp,трубу,ống,管道,broken pipe,tuyau cassé,kaputte Rohr,tubo rotto,gebroken pijp,сломанная труба,ống bị vỡ,断裂的管道,I saw the broken pipe,J'ai vu le tuyau cassé,Ich sah das kaputte Rohr,Ho visto il tubo rotto,Ik zag de gebroken pijp,Я увидел сломанную трубу,Tôi đã thấy cái ống bị vỡ,我看見了断裂的管道,I saw the,J'ai vu le,Ich sah das,Ho visto il,Ik zag de,Я увидел,Tôi đã thấy cái,我看見了
fast,rapide,schnelle,veloce,snelle,быстрый,nhanh,高速,plane,avion,Flugzeug,aereo,vliegtuig,самолёт,máy bay,飞机,fast plane,avion rapide,schnelle Flugzeug,aereo veloce,snelle vliegtuig,быстрый самолет,máy bay nhanh,高速飞机,I saw the fast plane,J'ai vu l'avion rapide,Ich sah das schnelle Flugzeug,Ho visto l'aereo veloce,Ik zag het snelle vliegtuig,Я увидел быстрый самолёт,Tôi đã thấy chiếc máy bay nhanh,我看見了高速飞机,I saw the,J'ai vu l',Ich sah das,Ho visto l',Ik zag het,Я увидел,Tôi đã thấy chiếc,我看見了
clean,propre,sauberen,pulito,schone,чистую,sạch,干净的,plate,assiette,Teller,piatto,bord,тарелку,đĩa,盘子,clean plate,assiette propre,sauberen Teller,piatto pulito,schone bord,чистая тарелка,đĩa sạch,干净的盘子,I saw the clean plate,J'ai vu l'assiette propre,Ich sah den sauberen Teller,Ho visto il piatto pulito,Ik zag het schone bord,Я увидел чистую тарелку,Tôi đã thấy cái đĩa sạch,我看見了干净的盘子,I saw the,J'ai vu l',Ich sah den,Ho visto il,Ik zag het,Я увидел,Tôi đã thấy cái,我看見了
rusty,rouillée,rostigen,arrugginito,roestige,ржавый,gỉ,生锈的,plough,charrue,Pflug,aratro,ploeg,плуг,cày,犁,rusty plough,charrue rouillée,rostigen Pflug,aratro arrugginito,roestige ploeg,ржавый плуг,cày gỉ,生锈的犁,I saw the rusty plough,J'ai vu la charrue rouillée,Ich sah den rostigen Pflug,Ho visto l'aratro arrugginito,Ik zag de roestige ploeg,Я увидел ржавый плуг,Tôi đã thấy cái cày gỉ,我看見了生锈的犁,I saw the,J'ai vu la,Ich sah den,Ho visto l',Ik zag de,Я увидел,Tôi đã thấy cái,我看見了
deep,profonde,tiefe,profonda,diepe,глубокий,sâu,深,pocket,poche,Tasche,tasca,zak,карман,túi,口袋,deep pocket,poche profonde,tiefe Tasche,tasca profonda,diepe zak,глубокий карман,túi sâu,深口袋,I saw the deep pocket,J'ai vu la poche profonde,Ich sah die tiefe Tasche,Ho visto la tasca profonda,Ik zag de diepe zak,Я увидел глубокий карман,Tôi đã thấy cái túi sâu,我看見了深口袋,I saw the,J'ai vu la,Ich sah die,Ho visto la,Ik zag de,Я увидел,Tôi đã thấy cái,我看見了
hot,chaud,heißen,calda,hete,горячий,nóng,热,pot,pot,Topf,pentola,pot,котёл,nồi,锅,hot pot,pot chaud,heißen Topf,pentola calda,hete pot,горячий котел,nồi nóng,热锅,I saw the hot pot,J'ai vu la pot chaud,Ich sah den heißen Topf,Ho visto la pentola calda,Ik zag de hete pot,Я увидел горячий котёл,Tôi đã thấy cái nồi nóng,我看見了热锅,I saw the,J'ai vu la,Ich sah den,Ho visto la,Ik zag de,Я увидел,Tôi đã thấy cái,我看見了
baked,cuite,gebackene,cotta,gebakken,печёный,nướng,烤,potato,pomme de terre,Kartoffel,patata,aardappel,картофель,khoai tây,土豆,baked potato,pomme de terre cuite,gebackene Kartoffel,patata cotta,gebakken aardappel,печеный картофель,khoai tây nướng,烤土豆,I saw the baked potato,J'ai vu la pomme de terre cuite,Ich sah die gebackene Kartoffel,Ho visto la patata cotta,Ik zag de gebakken aardappel,Я увидел печёный картофель,Tôi đã thấy củ khoai tây nướng,我看見了烤土豆,I saw the,J'ai vu la,Ich sah die,Ho visto la,Ik zag de,Я увидел,Tôi đã thấy củ,我看見了
crowded,bondée,überfüllte,affollata,overvolle,переполненную,đông đúc,拥挤的,prison,prison,Gefängnis,prigione,gevangenis,тюрьму,nhà tù,监狱,crowded prison,prison bondée,überfüllte Gefängnis,prigione affollata,overvolle gevangenis,переполненная тюрьма,nhà tù đông đúc,拥挤的监狱,I saw the crowded prison,J'ai vu la prison bondée,Ich sah das überfüllte Gefängnis,Ho visto il prigione affollata,Ik zag de overvolle gevangenis,Я увидел переполненную тюрьму,Tôi đã thấy nhà tù đông đúc,我看見了拥挤的监狱,I saw the,J'ai vu la,Ich sah das,Ho visto il,Ik zag de,Я увидел,Tôi đã thấy,我看見了
manual,manuelle,handbetriebene,manuale,handmatige,ручную,thủ công,手动,pump,pompe,Pumpe,pompa,pomp,насос,bơm,泵,manual pump,pompe manuelle,handbetriebene Pumpe,pompa manuale,handmatige pomp,ручной насос,bơm thủ công,手动泵,I saw the manual pump,J'ai vu la pompe manuelle,Ich sah die handbetriebene Pumpe,Ho visto la pompa manuale,Ik zag de handmatige pomp,Я увидел ручную насос,Tôi đã thấy cái bơm thủ công,我看見了手动泵,I saw the,J'ai vu la,Ich sah die,Ho visto la,Ik zag de,Я увидел,Tôi đã thấy cái,我看見了
metal,métallique,metallene,metallico,metalen,металлическую,kim loại,金属,rail,rail,Scheine,binario,rail,рельс,ray,轨道,metal rail,rail métallique,metallene Scheine,binario metallico,metalen rail,металлическая рельса,ray kim loại,金属轨道,I saw the metal rail,J'ai vu le rail métallique,Ich sah die metallene Scheine,Ho visto il binario metallico,Ik zag de metalen rail,Я увидел металлическую рельс,Tôi đã thấy thanh ray kim loại,我看見了金属轨道,I saw the,J'ai vu le,Ich sah die,Ho visto il,Ik zag de,Я увидел,Tôi đã thấy thanh,我看見了
dirty,sale,schmutzige,sporco,vuile,грязную,bẩn,肮脏的,rat,rat,Ratte,topo,rat,крысу,chuột,老鼠,dirty rat,rat sale,schmutzige Ratte,topo sporco,vuile rat,грязная крыса,chuột bẩn,肮脏的老鼠,I saw the dirty rat,J'ai vu le rat sale,Ich sah die schmutzige Ratte,Ho visto il topo sporco,Ik zag de vuile rat,Я увидел грязную крысу,Tôi đã thấy con chuột bẩn,我看見了肮脏的老鼠,I saw the,J'ai vu le,Ich sah die,Ho visto il,Ik zag de,Я увидел,Tôi đã thấy con,我看見了
thin,mince,dünnen,sottile,dunne,тонкий,nhỏ,薄型,receipt,reçu,Beleg,scontrino,bon,чек,phiếu thu,收據,thin receipt,reçu mince,dünnen Beleg,scontrino sottile,dunne bon,тонкий чек,phiếu thu nhỏ,薄型收據,I saw the thin receipt,J'ai vu le reçu mince,Ich sah den dünnen Beleg,Ho visto lo scontrino sottile,Ik zag de dunne bon,Я увидел тонкий чек,Tôi đã thấy tờ phiếu thu nhỏ,我看見了薄型收據,I saw the,J'ai vu le,Ich sah den,Ho visto lo,Ik zag de,Я увидел,Tôi đã thấy tờ,我看見了
gold,d'or,goldenen,d,gouden,золотое,vàng,金,ring,anneau,Ring,anello,ring,кольцо,nhẫn,戒指,gold ring,anneau d'or,goldenen Ring,anello d'oro,gouden ring,золотое кольцо,nhẫn vàng,金戒指,I saw the gold ring,J'ai vu la anneau d'or,Ich sah den goldenen Ring,Ho visto l'anello d'oro,Ik zag de gouden ring,Я увидел золотое кольцо,Tôi đã thấy chiếc nhẫn vàng,我看見了金戒指,I saw the,J'ai vu la,Ich sah den,Ho visto l',Ik zag de,Я увидел,Tôi đã thấy chiếc,我看見了
